year_month,pct
2017-1, <0.207
2017-2, <0.236
2017-3, 0.320
2017-4, <0.258
2017-5, <0.277
2017-6, <0.284
2017-7, 0.304
2017-8, 0.463
2017-9, 0.442
2017-10,0.433
2017-11,0.600
2017-12,0.439
2018-1, 0.226
2018-2, 0.189
2018-3, 0.301
2018-4, 0.195
2018-5, 0.342
2018-6, 0.281
2018-7, <0.175
2018-8, 0.156
2018-9, 0.242
2018-10,0.191
2018-11,0.230
2018-12,0.188
2019-1, 0.296
2019-2, 0.170
2019-3, 0.210
2019-4, 0.209
2019-5, 0.218
2019-6, 0.214
2019-7, 0.174
2019-8, 0.279
2019-9, 0.338
2019-10, 0.224
2019-11, 0.249
2019-12, 0.219
2020-1, 0.184
2020-2, 0.170
2020-3, 0.17
2020-4, 0.170
2020-5, 0.27
2020-6, 0.41
2020-7, 0.34
2020-8, 0.47
2020-9, 0.55
2020-10, 0.40
2020-11, 0.50
2020-12, 0.56
2021-1, 0.73
2021-2, 0.52
2021-3, 0.41
2021-4, 0.42
2021-5, 0.43
2021-6, 0.36
2021-7, 0.35
2021-8, 0.51
2021-9, 0.53
2021-10, 0.52
2021-11, 0.35
2021-12, 0.27
2022-1, 0.39
2022-2, 0.40
2022-3, 0.32
2022-4, 0.48
2022-5, 0.64
2022-6, 0.52
